model_key,country,narrator_role,recipient_gender_condition,axis,n_unique_words,n_matched_tokens,H_raw,effective_vocab_size,H_normalized,simpson_concentration,gini_simpson_diversity,lexicon_coverage
anthropic-haiku45,Australia,Nanny,male,role,17.0,20.0,2.7616257121977803,15.825549836003068,0.974732706942589,0.07,0.9299999999999999,0.02768729641693811
anthropic-haiku45,Australia,Older Brother,female,direct_marker,4.0,20.0,1.2056282324887189,3.3388559971346594,0.8696769360836005,0.325,0.675,0.11428571428571428
anthropic-haiku45,Australia,Older Brother,female,domain,3.0,6.0,0.8675632284814612,2.381101577952299,0.7896900821428474,0.5,0.5,0.09090909090909091
anthropic-haiku45,Australia,Older Brother,female,role,15.0,23.0,2.484248069504369,11.992099638393167,0.9173567271733918,0.10775047258979209,0.8922495274102079,0.024429967426710098
anthropic-haiku45,Australia,Older Brother,male,direct_marker,3.0,7.0,0.9556998911125343,2.6004900059896596,0.8699155297736259,0.42857142857142855,0.5714285714285714,0.08571428571428572
anthropic-haiku45,Australia,Older Brother,male,role,12.0,13.0,2.458311329683084,11.685062651542049,0.98929725585177,0.08875739644970415,0.9112426035502958,0.019543973941368076
anthropic-haiku45,Australia,Older Sister,female,direct_marker,4.0,12.0,1.3579778549873243,3.8883225944793307,0.9795739585136223,0.2638888888888889,0.7361111111111112,0.11428571428571428
anthropic-haiku45,Australia,Older Sister,female,domain,2.0,4.0,0.5623351446188083,1.7547653506033232,0.8112781244591328,0.625,0.375,0.06060606060606061
anthropic-haiku45,Australia,Older Sister,female,role,11.0,16.0,2.1006789212792607,8.171715981550443,0.8760511541555962,0.1796875,0.8203125,0.017915309446254073
anthropic-haiku45,Australia,Older Sister,female,trait,2.0,2.0,0.6931471805599453,2.0,1.0,0.5,0.5,0.13333333333333333
anthropic-haiku45,Australia,Older Sister,male,direct_marker,1.0,7.0,-0.0,1.0,,1.0,0.0,0.02857142857142857
anthropic-haiku45,Australia,Older Sister,male,domain,1.0,1.0,-0.0,1.0,,1.0,0.0,0.030303030303030304
anthropic-haiku45,Australia,Older Sister,male,role,10.0,11.0,2.2718685126965625,9.697503804956236,0.9866599586738648,0.10743801652892562,0.8925619834710744,0.016286644951140065
anthropic-haiku45,Australia,Older Sister,male,trait,1.0,1.0,-0.0,1.0,,1.0,0.0,0.06666666666666667
anthropic-haiku45,Australia,Teacher,female,direct_marker,4.0,19.0,1.1643645119349335,3.2038862046840033,0.8399114535778135,0.3518005540166204,0.6481994459833795,0.11428571428571428
anthropic-haiku45,Australia,Teacher,female,domain,2.0,4.0,0.5623351446188083,1.7547653506033232,0.8112781244591328,0.625,0.375,0.06060606060606061
anthropic-haiku45,Australia,Teacher,female,role,11.0,18.0,2.139085894695714,8.491671797800558,0.8920681061268272,0.16049382716049387,0.8395061728395061,0.017915309446254073
anthropic-haiku45,Australia,Teacher,female,trait,1.0,1.0,-0.0,1.0,,1.0,0.0,0.06666666666666667
anthropic-haiku45,Australia,Teacher,male,direct_marker,4.0,15.0,1.2654130965141723,3.544556677721428,0.9128025995084719,0.29777777777777775,0.7022222222222223,0.11428571428571428
anthropic-haiku45,Australia,Teacher,male,domain,1.0,4.0,-0.0,1.0,,1.0,0.0,0.030303030303030304
anthropic-haiku45,Australia,Teacher,male,role,5.0,11.0,1.3896811919839047,4.013570290623977,0.8634574724800428,0.28925619834710736,0.7107438016528926,0.008143322475570033
anthropic-haiku45,Australia,Uncle,female,direct_marker,4.0,19.0,1.0937704472491416,2.985509584199537,0.7889886000586201,0.3905817174515235,0.6094182825484765,0.11428571428571428
anthropic-haiku45,Australia,Uncle,female,domain,3.0,5.0,1.0549201679861442,2.8717458874925876,0.9602297178607612,0.3600000000000001,0.6399999999999999,0.09090909090909091
anthropic-haiku45,Australia,Uncle,female,role,13.0,19.0,2.433698951385428,11.400975835991977,0.9488292407433713,0.10249307479224376,0.8975069252077562,0.021172638436482084
anthropic-haiku45,Australia,Uncle,female,trait,1.0,1.0,-0.0,1.0,,1.0,0.0,0.06666666666666667
anthropic-haiku45,Australia,Uncle,male,direct_marker,2.0,5.0,0.5004024235381879,1.6493848884661177,0.7219280948873623,0.6800000000000002,0.31999999999999984,0.05714285714285714
anthropic-haiku45,Australia,Uncle,male,role,18.0,23.0,2.7738522086804824,16.020228559615543,0.9596870025811164,0.07372400756143668,0.9262759924385633,0.029315960912052116
anthropic-haiku45,Brazil,Aunt,female,direct_marker,3.0,8.0,0.7356219397587946,2.0867794400977164,0.6695919455357792,0.59375,0.40625,0.08571428571428572
anthropic-haiku45,Brazil,Aunt,female,role,13.0,19.0,2.4515830605217857,11.606706301758294,0.9558017406425728,0.09695290858725761,0.9030470914127424,0.021172638436482084
anthropic-haiku45,Brazil,Aunt,female,trait,1.0,1.0,-0.0,1.0,,1.0,0.0,0.06666666666666667
anthropic-haiku45,Brazil,Aunt,male,direct_marker,3.0,10.0,0.8979457248567797,2.4545555958911476,0.81734542214651,0.45999999999999996,0.54,0.08571428571428572
anthropic-haiku45,Brazil,Aunt,male,domain,1.0,2.0,-0.0,1.0,,1.0,0.0,0.030303030303030304
anthropic-haiku45,Brazil,Aunt,male,role,14.0,21.0,2.5164103001539404,12.38406171342232,0.9535261973716962,0.0929705215419501,0.9070294784580499,0.02280130293159609
anthropic-haiku45,Brazil,Cousin,female,direct_marker,4.0,11.0,1.2406842919533958,3.4579789224902,0.8949645376549995,0.3223140495867768,0.6776859504132232,0.11428571428571428
anthropic-haiku45,Brazil,Cousin,female,domain,1.0,1.0,-0.0,1.0,,1.0,0.0,0.030303030303030304
