model_key,country,narrator_role,axis,exposure_E_daughter,exposure_E_son,O_daughter,O_son,RSA,Q,MI,JSD,Y_F_daughter,Y_M_daughter,Y_F_son,Y_M_son,n_stories_daughter,n_stories_son,low_confidence
anthropic-haiku45,Australia,Teacher,role,185.56701030927837,118.27956989247312,1.5257128669069169,-2.7798526016724874,-4.305565468579404,-0.9733727810650887,0.41848075336384527,0.4525284366290627,4.0,14.0,11.0,0.0,1.0,1.0,True
anthropic-haiku45,Australia,Teacher,trait,10.309278350515465,0.0,1.7614645062676222,0.6628522175995125,-1.0986122886681096,-0.49999999999999994,0.04411041774840095,0.0487949406953985,0.0,1.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Australia,Uncle,domain,48.07692307692308,0.0,0.046784056767340765,2.4446793295657114,2.3978952727983707,0.8333333333333334,0.09411547832206991,0.16395604408354778,5.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Australia,Uncle,role,182.69230769230768,244.68085106382975,-1.194955798154505,0.2722600053176112,1.467215803472116,0.6252676659528908,0.07681662671851179,0.07803706631606556,16.0,3.0,12.0,11.0,1.0,1.0,True
anthropic-haiku45,Australia,Uncle,trait,9.615384615384617,0.0,-0.43576007106859727,0.6628522175995125,1.0986122886681098,0.5,0.04411041774840095,0.0487949406953985,1.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Brazil,Aunt,domain,0.0,19.23076923076923,2.4446793295657114,0.8352414171316112,-1.6094379124341003,-0.6666666666666666,0.07376130822286722,0.09328462323031235,0.0,0.0,2.0,0.0,1.0,1.0,True
anthropic-haiku45,Brazil,Aunt,role,186.2745098039216,201.92307692307693,-0.6137589429314414,1.2246794612802718,1.8384384042117132,0.72552783109405,0.13724861435716215,0.13759239018608588,14.0,5.0,6.0,15.0,1.0,1.0,True
anthropic-haiku45,Brazil,Aunt,trait,9.803921568627452,0.0,-0.43576007106859727,0.6628522175995125,1.0986122886681098,0.5,0.04411041774840095,0.0487949406953985,1.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Brazil,Cousin,domain,9.803921568627452,31.25,1.3460670408976017,0.498769180510398,-0.8472978603872037,-0.4,0.017220084695578806,0.018790976295781185,1.0,0.0,3.0,0.0,1.0,1.0,True
anthropic-haiku45,Brazil,Cousin,role,88.23529411764706,208.33333333333331,-0.2633975941495613,1.391733545943438,1.6551311400929993,0.6791666666666667,0.0995962303001277,0.1125569442214227,6.0,3.0,5.0,15.0,1.0,1.0,True
anthropic-haiku45,Brazil,Cousin,trait,0.0,0.0,0.6628522175995125,0.6628522175995125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Brazil,Family Doctor,domain,0.0,30.0,2.4446793295657114,0.498769180510398,-1.9459101490553135,-0.75,0.08707654032768519,0.12425601093475921,0.0,0.0,3.0,0.0,1.0,1.0,True
anthropic-haiku45,Brazil,Family Doctor,role,137.2549019607843,200.0,-0.4916562461305415,0.9434282791587812,1.4350845252893227,0.6153846153846154,0.08429531609600996,0.08685486703573164,10.0,4.0,7.0,13.0,1.0,1.0,True
anthropic-haiku45,Brazil,Family Doctor,trait,9.803921568627452,10.0,-0.43576007106859727,1.7614645062676222,2.1972245773362196,0.8,0.18872187554086717,0.18872187554086717,1.0,0.0,0.0,1.0,1.0,1.0,True
anthropic-haiku45,Brazil,Father,domain,19.8019801980198,20.40816326530612,0.8352414171316112,0.8352414171316112,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,True
anthropic-haiku45,Brazil,Father,role,198.01980198019805,255.1020408163265,1.654924598386923,1.4542539029247719,-0.2006706954621511,-0.09999999999999996,0.0012743943304023408,0.00129143141214752,4.0,16.0,6.0,19.0,1.0,1.0,True
anthropic-haiku45,Brazil,Father,trait,0.0,0.0,0.6628522175995125,0.6628522175995125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Brazil,Grandfather,domain,9.9009900990099,0.0,1.3460670408976017,2.4446793295657114,1.0986122886681098,0.5,0.04411041774840095,0.0487949406953985,1.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Brazil,Grandfather,role,148.5148514851485,178.21782178217822,1.2939112528495924,-0.07180240057027742,-1.3657136534198697,-0.5933734939759036,0.0774836298595192,0.07822107944769906,4.0,11.0,11.0,7.0,1.0,1.0,True
anthropic-haiku45,Brazil,Grandfather,trait,9.9009900990099,0.0,-0.43576007106859727,0.6628522175995125,1.0986122886681098,0.5,0.04411041774840095,0.0487949406953985,1.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Brazil,Grandmother,domain,0.0,20.61855670103093,2.4446793295657114,0.8352414171316112,-1.6094379124341003,-0.6666666666666666,0.07376130822286722,0.09328462323031235,0.0,0.0,2.0,0.0,1.0,1.0,True
anthropic-haiku45,Brazil,Grandmother,role,140.35087719298247,257.7319587628866,0.1192528361924318,1.0777763316898596,0.9585234954974279,0.4456521739130434,0.03811410467160588,0.0396907769381305,9.0,7.0,8.0,17.0,1.0,1.0,True
anthropic-haiku45,Brazil,Grandmother,trait,0.0,0.0,0.6628522175995125,0.6628522175995125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Brazil,Mother,domain,0.0,0.0,2.4446793295657114,2.4446793295657114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Brazil,Mother,role,90.0,175.82417582417582,-1.3789594411314443,0.8352146945185485,2.214174135649993,0.8030303030303031,0.16096197682615943,0.17593415920891042,8.0,1.0,6.0,10.0,1.0,1.0,True
anthropic-haiku45,Brazil,Mother,trait,0.0,0.0,0.6628522175995125,0.6628522175995125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Brazil,Nanny,domain,20.0,20.0,0.8352414171316112,0.8352414171316112,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,True
anthropic-haiku45,Brazil,Nanny,role,150.0,210.0,1.2939112528495924,-1.002481869896532,-2.2963931227461245,-0.8171557562076749,0.1978682788154879,0.20171430979331623,4.0,11.0,17.0,4.0,1.0,1.0,True
anthropic-haiku45,Brazil,Nanny,trait,20.0,0.0,-0.9465856948345878,0.6628522175995125,1.6094379124341003,0.6666666666666666,0.07376130822286721,0.09328462323031235,2.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Brazil,Older Brother,domain,0.0,0.0,2.4446793295657114,2.4446793295657114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Brazil,Older Brother,role,164.83516483516485,154.63917525773195,1.0022687791817146,0.23047847130265614,-0.7717903078790584,-0.367816091954023,0.02592817264393165,0.025928172643931643,5.0,10.0,8.0,7.0,1.0,1.0,True
anthropic-haiku45,Brazil,Older Brother,trait,10.989010989010987,0.0,-0.43576007106859727,0.6628522175995125,1.0986122886681098,0.5,0.04411041774840095,0.0487949406953985,1.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Brazil,Older Sister,domain,30.0,60.0,0.498769180510398,-0.1202700278958253,-0.6190392084062233,-0.29999999999999993,0.005598436077466296,0.005910933896818616,3.0,0.0,6.0,0.0,1.0,1.0,True
anthropic-haiku45,Brazil,Older Sister,role,160.0,180.0,-0.6660096332753193,-1.132435441173171,-0.4664258078978517,-0.22907488986784147,0.0067366970694188455,0.006741457379809055,12.0,4.0,15.0,3.0,1.0,1.0,True
anthropic-haiku45,Brazil,Older Sister,trait,0.0,0.0,0.6628522175995125,0.6628522175995125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Brazil,Teacher,domain,10.416666666666666,31.25,1.3460670408976017,0.498769180510398,-0.8472978603872037,-0.4,0.017220084695578806,0.018790976295781185,1.0,0.0,3.0,0.0,1.0,1.0,True
